Year,Location,Area,Rainfall,Temperature,Soil,Irrigation,yeilds,Humidity,Crops,price,calculation,res4
2004,Mangalore,1279,2903.1,27,Coastal alluvials,Drip,2570,57,Coconut,200000,1945.525292,50.23455825
2004,Mangalore,725,2996.6,27,Coastal alluvials,Drip,1402,55,Coconut,216396,3858.701854,48.34482759
2004,Mangalore,468,3522.8,27.2,Coastal alluvials,Drip,1132,58,Coconut,203317,4490.216431,60.47008547
2004,Mangalore,206,3729.8,27,Coastal alluvials,Drip,804,50,Coconut,238542,7417.350746,97.57281553
2004,Mangalore,177,2746.2,27,Coastal alluvials,Drip,792,52,Coconut,234779,7410.953283,111.8644068
2004,Mangalore,146,3360,27.2,Coastal alluvials,Drip,338,57,Coconut,249978,18489.49704,57.87671233
2004,Mangalore,160,3605.4,27.1,Coastal alluvials,Drip,404,57,Coconut,24848,1537.623762,63.125
2004,Mangalore,142,3512.4,26.8,Coastal alluvials,Drip,343,56.6,Coconut,234581,17097.74052,60.38732394
2004,Mangalore,154,3296,37,Coastal alluvials,Drip,336,59.5,Coconut,200000,14880.95238,54.54545455
2004,Mangalore,143,3550,38,Coastal alluvials,Drip,316,53.5,Coconut,216396,17119.93671,55.24475524
2004,Mangalore,158,3654,39,Coastal alluvials,Drip,382,57,Coconut,203317,13306.08639,60.44303797
2004,Mangalore,103,233,40,Coastal alluvials,Drip,231,55,Coconut,238542,25816.23377,56.06796117
2004,Mangalore,96,234,41,Coastal alluvials,Drip,221,58,Coconut,234779,26558.71041,57.55208333
2004,Mangalore,110,3105,42,Coastal alluvials,Drip,291,50,Coconut,249978,21475.7732,66.13636364
2004,Mangalore,95,236,43,Coastal alluvials,Drip,283,52,Coconut,24848,2195.053004,74.47368421
2004,Mangalore,4012,2903.1,27,Coastal alluvials,Basin,7157,57,Coconut,45608,159.3125611,44.59745763
2004,Mangalore,4954,2996.6,27,Coastal alluvials,Basin,8838,57,Coconut,43562,123.22358,44.60032297
2004,Mangalore,5174,3522.8,27.2,Coastal alluvials,Basin,9230,54.5,Coconut,51239,138.783857,44.59798995
2004,Mangalore,5864,3729.8,27,Coastal alluvials,Basin,49084,58.5,Coconut,44235,22.53025426,209.2598909
2004,Mangalore,7501,2746.2,27,Coastal alluvials,Basin,58405,53,Coconut,45186,19.34166595,194.657379
2004,Mangalore,32,3360,27.2,Coastal alluvials,Basin,114,56,Coconut,57259,12556.79825,89.0625
2004,Mangalore,6,3605.4,27.1,Coastal alluvials,Basin,19,57,Coconut,64409,84748.68421,79.16666667
2004,Mangalore,39,3512.4,26.8,Coastal alluvials,Basin,123,54,Coconut,4847,985.1626016,78.84615385
2004,Mangalore,3,3296,37,Coastal alluvials,Basin,8,59,Coconut,2644,8262.5,66.66666667
2004,Mangalore,9,3550,38,Coastal alluvials,Basin,29,53,Coconut,2134,1839.655172,80.55555556
2004,Mangalore,4,3654,39,Coastal alluvials,Basin,14,57,Coconut,1516,2707.142857,87.5
2004,Mangalore,29,233,40,Coastal alluvials,Basin,98,57,Coconut,1493,380.8673469,84.48275862
2004,Mangalore,14003,234,41,Coastal alluvials,Basin,59777,54.5,Coconut,637,0.266406812,106.7217739
2004,Mangalore,14464,3105,42,Coastal alluvials,Basin,623687,58.5,Coconut,761,0.030504083,1077.998825
2004,Mangalore,15009,236,43,Coastal alluvials,Basin,73730,53,Coconut,646,0.219042452,122.8096475
2004,Mangalore,15114,2903.1,27,Coastal alluvials,Spray,118416,53.5,Coconut,43562,9.19681462,195.8713775
2004,Mangalore,17512,2996.6,27,Coastal alluvials,Spray,171739,57,Coconut,51239,7.458847437,245.1733097
2004,Mangalore,17825,3522.8,27.2,Coastal alluvials,Spray,313547,55,Coconut,44235,3.526983196,439.7573633
2004,Mangalore,1591,3729.8,27,Coastal alluvials,Spray,1647,58,Coconut,45186,685.8834244,25.87994972
2004,Mangalore,1122,2746.2,27,Coastal alluvials,Spray,836,50,Coconut,57259,1712.29067,18.62745098
2004,Mangalore,619,3360,27.2,Coastal alluvials,Spray,770,52,Coconut,64409,2091.201299,31.09854604
2004,Mangalore,153,3605.4,27.1,Coastal alluvials,Spray,187,57,Coconut,43311,5790.240642,30.55555556
2004,Mangalore,53,3512.4,26.8,Coastal alluvials,Spray,71,57,Coconut,45608,16059.15493,33.49056604
2004,Mangalore,2188,3296,37,Coastal alluvials,Spray,3290,56.6,Coconut,43562,331.0182371,37.59140768
2004,Mangalore,2034,3550,38,Coastal alluvials,Spray,3899,59.5,Coconut,51239,328.5393691,47.92281219
2004,Mangalore,2127,3654,39,Coastal alluvials,Spray,4167,53.5,Coconut,44235,265.3887689,48.977433
2004,Mangalore,2050,233,40,Coastal alluvials,Spray,4904,57,Coconut,45186,230.3527732,59.80487805
2004,Mangalore,1799,234,41,Coastal alluvials,Spray,3647,55,Coconut,200000,1370.989855,50.68093385
2004,Mangalore,407,3105,42,Coastal alluvials,Spray,71,58,Coconut,216396,76195.77465,4.361179361
2004,Mangalore,173,236,43,Coastal alluvials,Spray,51,50,Coconut,203317,99665.19608,7.369942197
2013,Mangalore,206,321,128,Coastal alluvials,Drip,67,53,Cocoa,45186,16860.44776,8.131067961
2016,Mangalore,82,324,131,Coastal alluvials,Drip,22,57,Cocoa,57259,65067.04545,6.707317073
